Campaign Date,Campaign Type,Subject Property,Property Type,Listing Status,Property Collection Count,Messages Sent,Success Rate %,Opt Outs,Opt Out %,Initial Click Count,Initial Click % (CTR),CTA Clicked (Submitted),CTA Verified,Agent SMS Notify Count,Agent Notify Twilio Cost,Total Twilio Cost,Text Message ID,Text Message,CTA ID Presented,CTA URL,PCD_click,PCD_agent
10/04/2025,Competition Command,35 Randwick Ave,SFR,Sold,75,75,0.00%,0,0.00%,0,0.00%,0,0,0,$0.0000,$0.0000,,,,,,
10/07/2025,Competition Command,3032 22nd Ave,SFR,Sold,75,75,0.00%,0,0.00%,1,1.33%,0,0,0,$0.0000,$0.0000,,,,,16833.0,
10/07/2025,Competition Command,103 Diablo Dr,SFR,Sold,75,75,0.00%,0,0.00%,0,0.00%,0,0,0,$0.0000,$0.0000,,,,,,
10/08/2025,Competition Command,2785 Butters Dr,SFR,Sold,75,75,0.00%,0,0.00%,0,0.00%,0,0,0,$0.0000,$0.0000,,,,,,
10/10/2025,Competition Command,3280 Pleitner Ave,SFR,Sold,75,75,0.00%,0,0.00%,3,4.00%,0,0,0,$0.0000,$0.0000,,,,,16849.0,
